ticket_id,created_date,resolved_date,category,subcategory,application_name,priority,status,assigned_team,assigned_engineer,reported_by,root_cause,sla_target_hours,first_response_minutes,resolution_time_hours,sla_breached,reopened_count,change_related,csat_score,resolution_notes
INC101339,2025-09-06 19:09,2025-09-06 19:45,Performance,Page Load Delay,Order Management System,P1 - Critical,Resolved,DBA Team,S. Priya,Batch Job Monitor,Third-Party Outage,4,16,0.61,False,0,False,5,Tuned query/index or scaled resources; response time back within threshold.
INC101316,2025-09-06 20:41,2025-09-07 08:30,Network,VPN Failure,Order Management System,P3 - Medium,Reopened,L2 Support,K. Suresh,End User,Unknown,24,24,11.82,False,1,False,1,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC101109,2025-09-07 02:14,2025-09-07 13:14,Performance,Report Load Timeout,Core Banking App,P3 - Medium,Resolved,DBA Team,P. Arjun,Customer,Data Issue,24,25,11.01,False,0,False,4,Tuned query/index or scaled resources; response time back within threshold.
INC100229,2025-09-07 09:24,2025-09-07 16:55,Network,VPN Failure,Order Management System,P3 - Medium,Resolved,L2 Support,M. Kumar,Batch Job Monitor,User Error,24,65,7.52,False,0,False,4,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC102180,2025-09-07 14:26,2025-09-07 23:35,Integration/API,Webhook Not Firing,Reporting Dashboard,P3 - Medium,Closed,L3 Engineering,N. Fathima,Batch Job Monitor,Capacity/Performance,24,40,9.16,False,0,False,4,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101909,2025-09-07 16:54,2025-09-08 15:04,Performance,Slow Response Time,Core Banking App,P3 - Medium,Resolved,L3 Engineering,S. Priya,End User,Configuration Error,24,61,22.17,False,0,False,3,Tuned query/index or scaled resources; response time back within threshold.
INC102104,2025-09-07 19:58,2025-09-08 09:28,Server/Infra,CPU Spike,Reporting Dashboard,P3 - Medium,Resolved,L3 Engineering,M. Kumar,Support Team (Proactive),Capacity/Performance,24,50,13.5,False,0,False,3,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101667,2025-09-07 20:04,2025-09-08 00:43,Hardware,Peripheral Not Detected,Billing Engine,P2 - High,Resolved,L1 Support,K. Suresh,Batch Job Monitor,User Error,8,16,4.65,False,0,False,5,Replaced/reset device; confirmed functioning with end user.
INC100279,2025-09-07 21:45,2025-09-10 17:07,Server/Infra,Memory Leak,Inventory System,P4 - Low,Resolved,L3 Engineering,L. Chitra,End User,Data Issue,72,60,67.37,False,0,False,5,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101720,2025-09-08 04:14,2025-09-08 20:01,Security,Suspicious Login,Order Management System,P3 - Medium,Resolved,Network Team,T. Divya,Monitoring Alert,Infra Failure,24,67,15.79,False,0,True,4,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC101755,2025-09-08 10:01,2025-09-08 13:06,Integration/API,Payload Mismatch,CRM Portal,P2 - High,Resolved,App Dev Team,M. Kumar,Support Team (Proactive),Data Issue,8,17,3.09,False,0,False,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC100884,2025-09-08 10:21,2025-09-08 13:51,Server/Infra,Memory Leak,CRM Portal,P1 - Critical,Resolved,Network Team,M. Kumar,Batch Job Monitor,User Error,4,2,3.5,False,0,True,3,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101437,2025-09-08 20:03,2025-09-09 02:24,Performance,API Latency,Order Management System,P3 - Medium,Resolved,L3 Engineering,N. Fathima,Batch Job Monitor,Third-Party Outage,24,53,6.36,False,0,False,5,Tuned query/index or scaled resources; response time back within threshold.
INC101296,2025-09-08 21:37,2025-09-10 16:46,Security,Certificate Expiry,Customer Support Portal,P4 - Low,Resolved,Network Team,P. Arjun,Support Team (Proactive),Infra Failure,72,203,43.16,False,0,False,4,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC102053,2025-09-09 11:45,2025-09-09 15:22,Network,Latency,HR Portal,P1 - Critical,Resolved,L2 Support,B. Meena,Batch Job Monitor,Infra Failure,4,14,3.63,False,0,False,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC101208,2025-09-09 13:47,2025-09-10 20:55,Integration/API,Payload Mismatch,Auth Service,P4 - Low,Resolved,App Dev Team,K. Suresh,Monitoring Alert,Capacity/Performance,72,323,31.14,False,0,False,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC102034,2025-09-09 16:29,2025-09-09 19:06,Integration/API,API Failure,CRM Portal,P2 - High,Closed,L3 Engineering,N. Fathima,End User,User Error,8,48,2.63,False,0,True,4,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101572,2025-09-09 18:04,2025-09-10 15:06,Access/Authentication,Password Reset,Order Management System,P3 - Medium,Closed,L1 Support,L. Chitra,Monitoring Alert,Infra Failure,24,55,21.04,False,0,False,4,Reset credentials / corrected access role; user confirmed successful login.
INC100992,2025-09-09 18:12,2025-09-10 11:08,Batch Job Failure,Job Not Triggered,Payment Gateway,P3 - Medium,Resolved,App Dev Team,K. Suresh,Support Team (Proactive),Third-Party Outage,24,37,16.94,False,0,True,1,Re-triggered job after correcting input file; added validation check.
INC100793,2025-09-09 18:26,2025-09-11 21:35,Network,DNS Issue,Order Management System,P4 - Low,Resolved,L2 Support,J. Antony,End User,Unknown,72,161,51.15,False,0,False,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100920,2025-09-09 21:40,2025-09-10 02:14,Hardware,Workstation Failure,Core Banking App,P2 - High,Closed,L1 Support,A. Rangan,End User,Capacity/Performance,8,22,4.58,False,0,False,5,Replaced/reset device; confirmed functioning with end user.
INC101584,2025-09-09 21:56,2025-09-10 01:48,Hardware,Workstation Failure,HR Portal,P2 - High,Resolved,L1 Support,L. Chitra,End User,Capacity/Performance,8,28,3.87,False,0,False,3,Replaced/reset device; confirmed functioning with end user.
INC101258,2025-09-10 02:25,2025-09-11 00:38,Server/Infra,Memory Leak,Core Banking App,P4 - Low,Resolved,Network Team,P. Arjun,End User,Code Defect,72,128,22.22,False,0,False,5,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC100630,2025-09-10 09:24,2025-09-11 07:51,Performance,Report Load Timeout,Auth Service,P3 - Medium,Resolved,L3 Engineering,S. Priya,Customer,Configuration Error,24,57,22.46,False,0,False,3,Tuned query/index or scaled resources; response time back within threshold.
INC100088,2025-09-10 11:35,2025-09-10 16:52,Security,Unauthorized Access Attempt,HR Portal,P2 - High,Resolved,Network Team,R. Iyer,End User,Code Defect,8,19,5.29,False,0,False,2,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC101167,2025-09-10 17:30,2025-09-16 04:50,Network,Firewall Block,Core Banking App,P4 - Low,Resolved,Network Team,S. Priya,Monitoring Alert,Capacity/Performance,72,103,131.34,True,0,False,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100351,2025-09-10 18:02,2025-09-10 19:00,Server/Infra,CPU Spike,Core Banking App,P1 - Critical,Resolved,Network Team,S. Priya,Customer,Infra Failure,4,12,0.97,False,0,True,4,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101741,2025-09-10 21:21,2025-09-13 11:32,Integration/API,Payload Mismatch,Inventory System,P4 - Low,Resolved,L3 Engineering,T. Divya,End User,Configuration Error,72,182,62.19,False,0,False,4,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC102009,2025-09-10 21:48,2025-09-11 12:19,Security,Unauthorized Access Attempt,CRM Portal,P4 - Low,Closed,L3 Engineering,N. Fathima,Monitoring Alert,Third-Party Outage,72,167,14.53,False,0,False,5,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC101044,2025-09-11 01:27,2025-09-11 06:42,Performance,Page Load Delay,Payment Gateway,P3 - Medium,Resolved,L3 Engineering,A. Rangan,Customer,Third-Party Outage,24,92,5.26,False,0,False,5,Tuned query/index or scaled resources; response time back within threshold.
INC100418,2025-09-11 05:24,2025-09-12 02:42,Performance,API Latency,CRM Portal,P3 - Medium,Closed,L3 Engineering,R. Iyer,Customer,Capacity/Performance,24,50,21.3,False,0,False,4,Tuned query/index or scaled resources; response time back within threshold.
INC100912,2025-09-11 13:24,2025-09-13 16:32,Hardware,Device Offline,Billing Engine,P4 - Low,Reopened,L1 Support,L. Chitra,Monitoring Alert,Code Defect,72,97,51.14,False,1,False,1,Replaced/reset device; confirmed functioning with end user.
INC100662,2025-09-11 17:06,2025-09-14 00:23,Hardware,Device Offline,Core Banking App,P4 - Low,Resolved,L1 Support,R. Iyer,Batch Job Monitor,Code Defect,72,29,55.29,False,0,True,4,Replaced/reset device; confirmed functioning with end user.
INC102153,2025-09-12 04:54,2025-09-12 13:48,Access/Authentication,SSO Error,Core Banking App,P3 - Medium,Resolved,L2 Support,B. Meena,Monitoring Alert,Third-Party Outage,24,45,8.91,False,0,False,5,Reset credentials / corrected access role; user confirmed successful login.
INC101384,2025-09-12 12:08,2025-09-13 05:17,Security,Vulnerability Alert,Inventory System,P3 - Medium,Resolved,Network Team,S. Priya,Batch Job Monitor,Unknown,24,66,17.16,False,0,False,5,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC100467,2025-09-12 13:58,2025-09-14 23:23,Database,Query Timeout,CRM Portal,P4 - Low,Resolved,L3 Engineering,P. Arjun,End User,Third-Party Outage,72,236,57.43,False,0,False,5,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC100940,2025-09-12 15:09,2025-09-13 00:41,Performance,Slow Response Time,Auth Service,P3 - Medium,Reopened,L3 Engineering,P. Arjun,Customer,Infra Failure,24,19,9.54,False,1,False,4,Tuned query/index or scaled resources; response time back within threshold.
INC100105,2025-09-12 15:32,2025-09-12 18:33,Integration/API,Webhook Not Firing,Reporting Dashboard,P2 - High,Resolved,App Dev Team,A. Rangan,Batch Job Monitor,Unknown,8,9,3.03,False,0,True,3,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC100664,2025-09-12 16:12,2025-09-15 10:41,Database,Connection Pool Exhausted,Billing Engine,P4 - Low,Resolved,L3 Engineering,V. Prasad,Batch Job Monitor,Capacity/Performance,72,234,66.49,False,0,False,4,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC100686,2025-09-12 18:29,2025-09-13 05:47,Security,Unauthorized Access Attempt,Inventory System,P3 - Medium,Resolved,Network Team,R. Iyer,Batch Job Monitor,Third-Party Outage,24,63,11.3,False,0,False,5,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC100728,2025-09-12 19:26,2025-09-15 15:35,Performance,Page Load Delay,Core Banking App,P4 - Low,Reopened,L3 Engineering,J. Antony,Batch Job Monitor,Code Defect,72,226,68.15,False,1,False,4,Tuned query/index or scaled resources; response time back within threshold.
INC100458,2025-09-13 07:44,2025-09-14 00:06,Performance,Slow Response Time,Order Management System,P4 - Low,Resolved,L3 Engineering,T. Divya,Batch Job Monitor,Configuration Error,72,254,16.37,False,0,False,5,Tuned query/index or scaled resources; response time back within threshold.
INC101226,2025-09-13 10:21,2025-09-14 00:40,Server/Infra,Disk Space Full,Order Management System,P3 - Medium,Resolved,Network Team,N. Fathima,Monitoring Alert,User Error,24,17,14.32,False,0,False,4,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC100819,2025-09-13 12:53,2025-09-13 19:10,Network,DNS Issue,Auth Service,P2 - High,Resolved,L2 Support,N. Fathima,Customer,Infra Failure,8,35,6.29,False,0,True,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC101000,2025-09-13 15:11,2025-09-13 18:53,Batch Job Failure,Job Not Triggered,Auth Service,P3 - Medium,Resolved,L3 Engineering,N. Fathima,End User,Data Issue,24,82,3.7,False,0,False,5,Re-triggered job after correcting input file; added validation check.
INC100321,2025-09-13 17:09,2025-09-14 11:35,Server/Infra,Server Down,Customer Support Portal,P4 - Low,Closed,Network Team,T. Divya,Monitoring Alert,Configuration Error,72,254,18.44,False,0,False,4,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101806,2025-09-14 21:35,2025-09-15 13:39,Network,DNS Issue,Order Management System,P4 - Low,Resolved,L2 Support,P. Arjun,Monitoring Alert,Infra Failure,72,212,16.07,False,0,False,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC101826,2025-09-14 21:43,2025-09-16 15:15,Access/Authentication,SSO Error,Reporting Dashboard,P3 - Medium,Resolved,L2 Support,P. Arjun,Customer,Capacity/Performance,24,33,41.54,True,0,False,1,Reset credentials / corrected access role; user confirmed successful login.
INC100980,2025-09-15 11:09,2025-09-16 01:59,Security,Certificate Expiry,CRM Portal,P3 - Medium,Resolved,Network Team,L. Chitra,Customer,Third-Party Outage,24,45,14.84,False,0,False,3,"Investigated alert, confirmed false positive / revoked access; updated certificate."
INC100449,2025-09-15 12:58,2025-09-18 04:52,Application Issue,Feature Not Working,Billing Engine,P3 - Medium,Resolved,L2 Support,K. Suresh,Support Team (Proactive),Infra Failure,24,51,63.9,True,0,False,5,Identified faulty code path; deployed hotfix / config change and validated with user.
INC102059,2025-09-15 19:30,2025-09-17 06:07,Database,Deadlock,Payment Gateway,P4 - Low,Resolved,L3 Engineering,T. Divya,Monitoring Alert,Data Issue,72,94,34.62,False,0,True,3,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC100219,2025-09-15 23:57,2025-09-18 01:48,Network,Firewall Block,Payment Gateway,P4 - Low,Closed,L2 Support,N. Fathima,End User,Configuration Error,72,175,49.85,False,0,False,4,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC101928,2025-09-16 08:02,2025-09-17 10:19,Integration/API,API Failure,Customer Support Portal,P4 - Low,Reopened,App Dev Team,J. Antony,Batch Job Monitor,Unknown,72,181,26.29,False,1,False,4,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101870,2025-09-16 13:51,2025-09-16 20:54,Batch Job Failure,Duplicate Run,Customer Support Portal,P2 - High,Closed,App Dev Team,T. Divya,Support Team (Proactive),Code Defect,8,32,7.05,False,0,False,4,Re-triggered job after correcting input file; added validation check.
INC100822,2025-09-16 15:11,2025-09-16 20:53,Application Issue,UI Error,Order Management System,P2 - High,Resolved,App Dev Team,B. Meena,Support Team (Proactive),User Error,8,16,5.7,False,0,False,5,Identified faulty code path; deployed hotfix / config change and validated with user.
INC100842,2025-09-16 17:05,2025-09-17 08:18,Network,VPN Failure,Auth Service,P3 - Medium,Closed,L2 Support,N. Fathima,Batch Job Monitor,User Error,24,28,15.22,False,0,False,5,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100095,2025-09-16 18:43,2025-09-16 22:17,Integration/API,API Failure,Order Management System,P2 - High,Closed,L3 Engineering,T. Divya,Customer,Code Defect,8,13,3.58,False,0,False,4,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101933,2025-09-16 19:37,2025-09-17 23:08,Database,Connection Pool Exhausted,Core Banking App,P2 - High,Resolved,DBA Team,P. Arjun,Customer,Data Issue,8,27,27.53,True,0,False,2,Optimized query / cleared lock and restarted affected session; verified data integrity.
INC101224,2025-09-16 20:58,2025-09-18 21:29,Network,Latency,CRM Portal,P4 - Low,Resolved,L2 Support,S. Priya,Batch Job Monitor,Configuration Error,72,205,48.52,False,0,False,4,Restarted network service / re-routed traffic; confirmed connectivity restored.
INC100320,2025-09-17 10:31,2025-09-20 10:38,Server/Infra,Server Down,HR Portal,P3 - Medium,Closed,L3 Engineering,J. Antony,Batch Job Monitor,Infra Failure,24,49,72.13,True,0,False,5,Freed disk space / restarted service; added monitoring alert to prevent recurrence.
INC101509,2025-09-17 13:08,2025-09-17 19:26,Integration/API,Webhook Not Firing,Payment Gateway,P3 - Medium,Resolved,L3 Engineering,N. Fathima,Monitoring Alert,Data Issue,24,37,6.3,False,0,False,4,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC101503,2025-09-17 17:17,2025-09-17 19:44,Performance,Page Load Delay,Core Banking App,P2 - High,Resolved,L3 Engineering,N. Fathima,Monitoring Alert,User Error,8,38,2.46,False,0,False,4,Tuned query/index or scaled resources; response time back within threshold.
INC101127,2025-09-18 06:19,2025-09-18 10:10,Integration/API,Third-Party Timeout,Auth Service,P2 - High,Closed,App Dev Team,P. Arjun,End User,Code Defect,8,20,3.86,False,0,False,5,Coordinated with third-party vendor / corrected payload mapping; retested integration.
INC100343,2025-09-18 10:03,2025-09-20 19:06,Security,Certificate Expiry,Payment Gateway,P4 - Low,Resolved,Network Team,S. Priya,Support Team (Proactive),Infra Failure,72,92,57.06,False,0,False,3,"Investigated alert, confirmed false positive / revoked access; updated certificate."
